Noise,Method,RMSE,Median absolute error
Normal,Nadaraya-Watson,0.053723832350137835,0.035431797396081266
Normal,Local linear,0.039934441152431215,0.01631032755398569
Normal,B-spline,0.033749653053633574,0.010574059734771546
Normal,Smoothing spline,0.07321912174357956,0.0528126832187934
Normal,Nadaraya-Watson,0.06227828645287812,0.035255240460758994
Normal,Local linear,0.051480295547317916,0.03146686587593142
Normal,B-spline,0.04457276613070604,0.023771933646578147
Normal,Smoothing spline,0.07960941188799359,0.049819321047194554
Normal,Nadaraya-Watson,0.048849275745299556,0.03525136986125876
Normal,Local linear,0.04199213121225171,0.02260898968434326
Normal,B-spline,0.0355998405673769,0.029349065088407955
Normal,Smoothing spline,0.06836757910225577,0.06388072920875773
Normal,Nadaraya-Watson,0.047485903271559916,0.01891695466214785
Normal,Local linear,0.0443574898145163,0.019094455978169528
Normal,B-spline,0.032588207618878644,0.013727676165284142
Normal,Smoothing spline,0.0816193551762163,0.044368382575795506
Normal,Nadaraya-Watson,0.05007303242881262,0.02654609678282427
Normal,Local linear,0.04973529167663286,0.020193656502539403
Normal,B-spline,0.041539465021120985,0.023353660443441893
Normal,Smoothing spline,0.07197337532332428,0.056199795192529434
Normal,Nadaraya-Watson,0.05898711772861046,0.023297800325120063
Normal,Local linear,0.02632521469165941,0.014846765577799848
Normal,B-spline,0.03204471602055393,0.02431560198565197
Normal,Smoothing spline,0.07202515429696726,0.052409730407705635
Normal,Nadaraya-Watson,0.058511980652430816,0.025878005639392077
Normal,Local linear,0.05712837289678981,0.030545338891207918
Normal,B-spline,0.03265694141922742,0.02349650258068653
Normal,Smoothing spline,0.07371705611650846,0.06950699768893476
Normal,Nadaraya-Watson,0.06315358807364657,0.042347678404240384
Normal,Local linear,0.04047165591761694,0.02613572667321451
Normal,B-spline,0.04245027471867999,0.03351325792720544
Normal,Smoothing spline,0.07294353949881509,0.05957622935272289
Normal,Nadaraya-Watson,0.0726638125319264,0.03553303525656425
Normal,Local linear,0.05480024670621582,0.027412479465576234
Normal,B-spline,0.05613517766652923,0.041328593654896675
Normal,Smoothing spline,0.07054383031758514,0.05799688070741918
Normal,Nadaraya-Watson,0.06357788721835718,0.03572483963911528
Normal,Local linear,0.04685603934763811,0.03930883346014857
Normal,B-spline,0.031128417854116436,0.027689392760808396
Normal,Smoothing spline,0.07165673117002319,0.06114599588940128
Normal,Nadaraya-Watson,0.05425629322104714,0.03438499072704025
Normal,Local linear,0.04603118599721179,0.034610509190399694
Normal,B-spline,0.06345960301908367,0.04092622704457631
Normal,Smoothing spline,0.07749684317870253,0.050993380606176225
Normal,Nadaraya-Watson,0.06354480965367161,0.03335293283190138
Normal,Local linear,0.03719217798413518,0.017601908131464877
Normal,B-spline,0.0393029055698326,0.030138795953013553
Normal,Smoothing spline,0.0702230340706804,0.05607451914171219
Normal,Nadaraya-Watson,0.07052810215201613,0.03859742384437499
Normal,Local linear,0.045816922224715485,0.02742248306648999
Normal,B-spline,0.032166975973169455,0.024104917259003877
Normal,Smoothing spline,0.06982633689507535,0.059611240386367004
Normal,Nadaraya-Watson,0.07263422827786326,0.05715951618941213
Normal,Local linear,0.04815322395378818,0.03018543306593844
Normal,B-spline,0.03582857973811696,0.023592747783141577
Normal,Smoothing spline,0.07067150580862078,0.06648787230232153
Normal,Nadaraya-Watson,0.06054498803646095,0.03005656515116717
Normal,Local linear,0.03254247369338611,0.0274034173520179
Normal,B-spline,0.028500446319296442,0.01862042704294986
Normal,Smoothing spline,0.0720527287187774,0.058297855748169314
Normal,Nadaraya-Watson,0.06050562055511874,0.03319959024818908
Normal,Local linear,0.037143874902804026,0.026988664024194822
