Function,Method,ISE,RMSE,Boundary RMSE,Time
Smooth periodic,B-spline,0.0014825294629806517,0.03850362921830423,0.06529123888740843,0.0008120000002236338
Smooth periodic,Smoothing spline,0.005524810282407407,0.07432906754700618,0.11832674911335596,6.599999869649764e-05
Smooth periodic,Linear,0.20205667099181374,0.44950714231457295,0.6630294059064086,0.00038379999932658393
Smooth periodic,Polynomial,0.0051017238521105426,0.0714263526445985,0.10650554864375365,0.0006959999991522636
Smooth periodic,Nadaraya-Watson,0.003877183357146135,0.062267032666942904,0.10842242734263041,0.00020769999900949188
Smooth periodic,Local linear,0.0021213863706944828,0.04605851029608408,0.06544872189926589,0.003619799999796669
Smooth periodic,Local quadratic,0.0019638225791755583,0.044315037844681555,0.058061223538521986,0.005181399999855785
Smooth periodic,B-spline,0.0016534774538074246,0.04066297399118053,0.06532914029490641,0.0008224000011978205
Smooth periodic,Smoothing spline,0.0051017238521106675,0.07142635264459937,0.10650554864375437,6.749999920430128e-05
Smooth periodic,Linear,0.20420380736096747,0.4518891538430276,0.6825823667418035,0.0004158000010647811
Smooth periodic,Polynomial,0.006602086078775605,0.08125322195935128,0.13955583417881395,0.0006602000012208009
Smooth periodic,Nadaraya-Watson,0.002963853685823502,0.05444128659228676,0.09256634315121072,0.00021829999968758784
Smooth periodic,Local linear,0.0036781861182846915,0.060648051232374246,0.10780032257875499,0.0036342000003060093
Smooth periodic,Local quadratic,0.0023075693322985283,0.04803716615599351,0.0953211697908244,0.003918500000509084
Smooth periodic,B-spline,0.002636993976729022,0.05135166965862962,0.10072750578676638,0.0008018000007723458
Smooth periodic,Smoothing spline,0.0066020860787757854,0.08125322195935239,0.13955583417882308,7.010000081209e-05
Smooth periodic,Linear,0.20331860802019516,0.4509086470896241,0.6331723537571824,0.00036109999928157777
Smooth periodic,Polynomial,0.005096493798258037,0.07138973174244344,0.09657226080360867,0.0006603000001632608
Smooth periodic,Nadaraya-Watson,0.0025786989671673596,0.05078089175238418,0.06619189247788698,0.00021469999956025276
Smooth periodic,Local linear,0.001236671907999908,0.03516634624182484,0.032661466999009375,0.0036497000000963453
Smooth periodic,Local quadratic,0.0008498581995889694,0.029152327515808568,0.031616434222243577,0.003901699999914854
Smooth periodic,B-spline,0.001024418843282478,0.032006543757214366,0.033239054722914954,0.0008201000000553904
Smooth periodic,Smoothing spline,0.005096493798257908,0.07138973174244254,0.09657226080360659,6.709999979648273e-05
Smooth periodic,Linear,0.2015536876757123,0.4489473105785492,0.663415640368424,0.0003988999997091014
Smooth periodic,Polynomial,0.004917099813828882,0.07012203515179007,0.08072368012111866,0.0006505000001197914
Smooth periodic,Nadaraya-Watson,0.004589079678008868,0.06774274631286266,0.10416933647056197,0.00021379999998316634
Smooth periodic,Local linear,0.0032499668992586063,0.057008480941510856,0.06128302310627081,0.0036097000011068303
Smooth periodic,Local quadratic,0.002202508335511606,0.046930888927353656,0.05636779705261067,0.0038817000004200963
Smooth periodic,B-spline,0.0021435436995167834,0.04629842005421765,0.06838685469699878,0.0008261000002676155
Smooth periodic,Smoothing spline,0.00491709981382887,0.07012203515178998,0.08072368012111912,6.690000009257346e-05
Smooth periodic,Linear,0.20694458467868462,0.4549116229320643,0.7263575804759259,0.00038809999932709616
Smooth periodic,Polynomial,0.005630355911047508,0.07503569757820279,0.09503110942504543,0.0006395000000338769
Smooth periodic,Nadaraya-Watson,0.0037486151461819587,0.06122593524138246,0.1111574900670974,0.00025629999981902074
Smooth periodic,Local linear,0.0013405596114465111,0.036613653347440094,0.04653484870145317,0.0036606999983632704
Smooth periodic,Local quadratic,0.0033860216651964603,0.05818953226480224,0.06288604722766647,0.00388329999987036
Smooth periodic,B-spline,0.0011415164955915673,0.033786335930248004,0.044606189671573246,0.0007828999987395946
Smooth periodic,Smoothing spline,0.005630355911047912,0.07503569757820548,0.09503110942504678,6.649999886576552e-05
Smooth periodic,Linear,0.20383180322817424,0.4514773562740154,0.5190005957585269,0.0003913000000466127
Smooth periodic,Polynomial,0.004908937692013314,0.07006381157211841,0.07651457638080619,0.00065819999872474
Smooth periodic,Nadaraya-Watson,0.002887881997887254,0.0537390174629873,0.07173766767308505,0.00022139999964565504
Smooth periodic,Local linear,0.0016323682704195899,0.04040257752197983,0.023979024082463364,0.003600699999878998
Smooth periodic,Local quadratic,0.0009076685747176222,0.030127538477572678,0.020847188041174015,0.003883700001097168
Smooth periodic,B-spline,0.0015106182776908107,0.038866673097794346,0.024578555244734214,0.0008030999997572508
Smooth periodic,Smoothing spline,0.004908937692013369,0.0700638115721188,0.07651457638080619,8.410000009462237e-05
Smooth periodic,Linear,0.20030779309825608,0.4475575863486799,0.6297490550893436,0.0005091000002721557
Smooth periodic,Polynomial,0.005136212979486932,0.07166737737274144,0.09208933597831898,0.0007003999999142252
Smooth periodic,Nadaraya-Watson,0.003697103524658829,0.06080381176093181,0.09697078798053116,0.00024790000134089496
Smooth periodic,Local linear,0.0016273049235758915,0.04033986766929078,0.04471068990149619,0.0036481000006460818
Smooth periodic,Local quadratic,0.0013638667091215538,0.036930566054713454,0.04332934923477658,0.0038676000003761146
Smooth periodic,B-spline,0.0013672441803549182,0.036976265094718776,0.051932480704123964,0.0007937999998830492
Smooth periodic,Smoothing spline,0.005136212979486973,0.07166737737274173,0.0920893359783212,6.659999962721486e-05
Smooth periodic,Linear,0.20127124887685915,0.4486326435702814,0.6141521838517888,0.0003797000008489704
Smooth periodic,Polynomial,0.004877572242391205,0.06983961800003781,0.0798938291398017,0.0006869999997434206
Smooth periodic,Nadaraya-Watson,0.003917847964930414,0.06259271495094627,0.11320915377771505,0.00020330000006651971
Smooth periodic,Local linear,0.0020062238061059755,0.04479088976684852,0.043571088929167244,0.0036164000011922326
Smooth periodic,Local quadratic,0.0008536793649171456,0.0292177919240511,0.03771739878266901,0.0039032000004226575
Smooth periodic,B-spline,0.0011000945390888621,0.03316767310332249,0.057079729196606185,0.0007664999993721722
Smooth periodic,Smoothing spline,0.004877572242391237,0.06983961800003803,0.07989382913980139,6.519999988086056e-05
Smooth periodic,Linear,0.20319901559907644,0.4507760148888541,0.6885911606923639,0.000370699999621138
Smooth periodic,Polynomial,0.005241727182594154,0.07239977336010213,0.10640877659089461,0.0006155999999464257
Smooth periodic,Nadaraya-Watson,0.003059538642937686,0.05531309648661595,0.08737256334788401,0.00022319999879982788
Smooth periodic,Local linear,0.003013533762913244,0.05489566251456707,0.07842298116576871,0.0035998000003019115
Smooth periodic,Local quadratic,0.0019440701727493756,0.04409161113805409,0.06709454775158982,0.003976300000431365
Smooth periodic,B-spline,0.001887790871223701,0.043448715415115566,0.06428563009555435,0.0007886999992479105
Smooth periodic,Smoothing spline,0.00524172718259424,0.07239977336010273,0.10640877659090088,6.67000003886642e-05
Smooth periodic,Linear,0.20320951282937777,0.4507876582487344,0.6505456956546223,0.0003956000000471249
Smooth periodic,Polynomial,0.006254364334344727,0.07908453916123383,0.09804669546331987,0.0006567000000359258
Smooth periodic,Nadaraya-Watson,0.005891741998198001,0.07675768364273378,0.15703162010781077,0.000237300000662799
Smooth periodic,Local linear,0.002153959909170336,0.04641077363253424,0.08150232968657117,0.0035908000008930685
Smooth periodic,Local quadratic,0.002249722797861033,0.04743124284541818,0.08594996564793086,0.003866099999868311
Smooth periodic,B-spline,0.0021612125925975804,0.046488843743392676,0.08793493043109779,0.0008051999993767822
Smooth periodic,Smoothing spline,0.006254364334344563,0.0790845391612328,0.09804669546331889,7.069999992381781e-05
Smooth periodic,Linear,0.20113420012336433,0.4484798770551075,0.6191671271790743,0.0003644999997050036
Smooth periodic,Polynomial,0.006113954797056499,0.07819178215807912,0.06631032671483324,0.0006823999992775498
Smooth periodic,Nadaraya-Watson,0.006366609820032235,0.07979103846944365,0.11817830106184621,0.00020589999985531904
Smooth periodic,Local linear,0.003357290885452194,0.057942133939407114,0.036078163426648345,0.0036366999993333593
Smooth periodic,Local quadratic,0.002543794129836468,0.05043603998963903,0.045283261756888196,0.003875000000334694
Smooth periodic,B-spline,0.0022284662991462548,0.047206634058638994,0.04612557906484896,0.0007992999999260064
Smooth periodic,Smoothing spline,0.0061139547970567466,0.07819178215808069,0.0663103267148332,6.650000068475492e-05
Smooth periodic,Linear,0.20106076888647423,0.44839800276815933,0.6437113277271671,0.0003868000003421912
Smooth periodic,Polynomial,0.005653538551652806,0.07519001630304921,0.11426874616604088,0.000626300001385971
Smooth periodic,Nadaraya-Watson,0.002603260264484929,0.05102215464369306,0.08151405884962211,0.00021220000053290278
Smooth periodic,Local linear,0.0024703566782822003,0.04970268280769359,0.08895469937377401,0.003612599999541999
Smooth periodic,Local quadratic,0.0017891406176453342,0.0422982342142711,0.07993624337122696,0.0038715000009688083
Smooth periodic,B-spline,0.002417128046314702,0.049164296459063686,0.08626789200867031,0.0008100999984890223
Smooth periodic,Smoothing spline,0.005653538551652567,0.07519001630304763,0.11426874616603265,6.630000098084565e-05
Smooth periodic,Linear,0.20253358577815103,0.450037315984076,0.5979636759067075,0.0003913000000466127
Smooth periodic,Polynomial,0.006377967785658662,0.07986217994557038,0.12948867623327429,0.0006440999986807583
Smooth periodic,Nadaraya-Watson,0.0020214163629322015,0.044960164178216716,0.050423063382391886,0.0002069000001938548
Smooth periodic,Local linear,0.0024173849956537993,0.04916690955972115,0.07601781291044415,0.0036057999986951472
Smooth periodic,Local quadratic,0.001736810286077678,0.041675055921710266,0.06674398786501415,0.003897500000675791
Smooth periodic,B-spline,0.0015211200906135925,0.03900153959286213,0.06378088999697898,0.0008164000009855954
Smooth periodic,Smoothing spline,0.006377967785658058,0.07986217994556659,0.1294886762332708,6.730000131938141e-05
Smooth periodic,Linear,0.20001646589947686,0.4472320045563341,0.6020549955160615,0.0003835000006802147
Smooth periodic,Polynomial,0.004826535689562697,0.06947327320317287,0.101395149142278,0.0006800000010116491
Smooth periodic,Nadaraya-Watson,0.002737090465648078,0.05231721003310553,0.07677713868556393,0.00024870000015653204
Smooth periodic,Local linear,0.0011154862009561878,0.03339889520562301,0.02405181155494908,0.0035901999999623513
Smooth periodic,Local quadratic,0.0005926354331409843,0.02434410468965709,0.029014941942621733,0.003934500000468688
Smooth periodic,B-spline,0.0005497092280015556,0.023445878699710862,0.027493830501816537,0.0009919999993144302
Smooth periodic,Smoothing spline,0.0048265356895626525,0.06947327320317255,0.10139514914227583,7.090000144671649e-05
Smooth periodic,Linear,0.20288474534667167,0.4504272919647206,0.5833088709882532,0.0004017999999632593
Smooth periodic,Polynomial,0.005719036378165632,0.07562431076159062,0.1220694603891198,0.000690700000632205
Smooth periodic,Nadaraya-Watson,0.0026776692329850632,0.051746200179192514,0.07111586405585132,0.00022199999875738285
Smooth periodic,Local linear,0.0015492062143913309,0.0393599569917363,0.04620908409676497,0.004204599999866332
Smooth periodic,Local quadratic,0.0009985945635666894,0.03160054688714563,0.04255520719393153,0.00421710000046005
Smooth periodic,B-spline,0.0010919920196127161,0.033045302534743366,0.047648508625145386,0.0009635999995225575
Smooth periodic,Smoothing spline,0.005719036378165519,0.07562431076158987,0.12206946038912024,6.659999962721486e-05
Smooth periodic,Linear,0.20053055649213086,0.44780638281754187,0.5868138650901232,0.0003742000008060131
Smooth periodic,Polynomial,0.005623280332342811,0.07498853467259385,0.11404257886054435,0.0007814000000507804
Smooth periodic,Nadaraya-Watson,0.003387351282014295,0.05820095602319858,0.07954651710820351,0.00022480000006908085
Smooth periodic,Local linear,0.002210296628492146,0.047013791896550375,0.03888183560099663,0.003942200000892626
Smooth periodic,Local quadratic,0.001223976149425903,0.034985370505768595,0.03136105181820644,0.004292400000849739
Smooth periodic,B-spline,0.0020258765233381283,0.04500973809452937,0.055602221338232276,0.0008431999995082151
