Method,CV RMSE,CV MAE,Selected parameter
Local linear,1426.9534863248884,1188.6859350114166,bandwidth=0.07
B-spline,1428.079236594691,1186.5885204089464,n_knots=9
Smoothing spline,1428.5943253227304,1192.7939340673377,smoothing_factor=1
Polynomial,1428.5943253227308,1192.7939340673383,degree=3
Nadaraya-Watson,1430.0045999665833,1194.8593125822504,bandwidth=0.05
Linear,1512.4340119572914,1250.7839238588397,None
