Noise,Nadaraya-Watson,Local linear,B-spline,Smoothing spline
Contaminated,0.07365607394348159,0.06294262888815604,0.057511083858271174,0.07961122268761543
Heavy-tailed,0.058821669872877264,0.041822877011533234,0.036647769849763805,0.0729433534684521
Heteroscedastic,0.07578461307446306,0.06631674364780145,0.06424645648989388,0.08407144792296262
Normal,0.06087490195397647,0.04438469898971223,0.03782575710460605,0.07308672955648186
